"","speaker","begin","end"
"1","INV","0","1932"
"2","PAR","1932","9759"
"3","PAR","9759","13324"
"4","PAR","13324","14801"
"5","PAR","14801","20282"
"6","PAR","20282","22132"
"7","PAR","22132","24007"
"8","PAR","24007","27135"
"9","PAR","27135","30199"
"10","PAR","30199","31655"
"11","PAR","31655","37108"
"12","PAR","37108","44445"
"13","INV","44445","45357"
"14","PAR","45357","52555"
"15","PAR","52555","55814"
"16","INV","55814","56545"
"17","PAR","56545","59637"
"18","PAR","59637","61790"
"19","PAR","61790","67113"
"20","INV","67113","69463"
"21","PAR","69463","70149"
"22","INV","70149","70696"
