"","speaker","begin","end"
"1","INV","0","2078"
"2","PAR","2078","5728"
"3","PAR","5728","6661"
"4","PAR","6661","10024"
"5","PAR","10024","16870"
"6","PAR","16870","19143"
"7","PAR","19143","22474"
"8","PAR","22474","41800"
"9","PAR","41800","43519"
"10","PAR","43719","45166"
"11","PAR","45166","50472"
"12","PAR","50472","69335"
"13","INV","69335","70728"
"14","INV","70728","71861"
"15","PAR","71461","72697"
"16","PAR","72697","75468"
"17","PAR","75468","77428"
"18","PAR","77428","79748"
"19","PAR","79748","82859"
"20","PAR","82859","85569"
"21","PAR","85569","89621"
"22","PAR","89621","93334"
"23","PAR","93334","95470"
"24","PAR","95470","99151"
"25","PAR","99151","102843"
"26","PAR","102843","108160"
"27","PAR","108160","111934"
"28","PAR","111934","122858"
"29","PAR","122858","127122"
"30","INV","127122","136909"
